1,Private flight,\N,\N,\N,N/A
2,135 Airways,\N,GENERAL,\N,GNL
3,1Time Airline,\N,NEXTIME,1T,RNX
4,2 Sqn No 1 Elementary Flying Training School,\N,\N,\N,WYT
5,213 Flight Unit,\N,\N,\N,TFU
6,223 Flight Unit State Airline,\N,CHKALOVSK-AVIA,\N,CHD
7,224th Flight Unit,\N,CARGO UNIT,\N,TTF
8,247 Jet Ltd,\N,CLOUD RUNNER,\N,TWF
9,3D Aviation,\N,SECUREX,\N,SEC
10,40-Mile Air,\N,MILE-AIR,Q5,MLA
11,4D Air,\N,QUARTET,\N,QRT
12,611897 Alberta Limited,\N,DONUT,\N,THD
13,Ansett Australia,\N,ANSETT,AN,AAA
14,Abacus International,\N,\N,1B,\N
15,Abelag Aviation,\N,ABG,W9,AAB
16,Army Air Corps,\N,ARMYAIR,\N,AAC
17,Aero Aviation Centre Ltd.,\N,SUNRISE,\N,AAD
18,Aero Servicios Ejecutivos Internacionales,\N,ASEISA,\N,SII
19,Aero Biniza,\N,BINIZA,\N,BZS
20,Aero Albatros,\N,ALBATROS ESPANA,\N,ABM
21,Aigle Azur,\N,AIGLE AZUR,ZI,AAF
22,Aloha Airlines,\N,ALOHA,AQ,AAH
23,Alaska Island Air,\N,ALASKA ISLAND,\N,AAK
24,American Airlines,\N,AMERICAN,AA,AAL
25,Aviation Management Corporation,\N,AM CORP,\N,AAM
26,Atlantis Airlines (USA),\N,ATLANTIS AIR,\N,AAO
27,Aerovista Airlines,\N,AEROVISTA GROUP,\N,AAP
28,Asiana Airlines,\N,ASIANA,OZ,AAR
29,Askari Aviation,\N,AL-AAS,4K,AAS
30,Australia Asia Airlines,\N,AUSTASIA,\N,AAU
31,Astro Air International,\N,ASTRO-PHIL,\N,AAV
32,Afriqiyah Airways,\N,AFRIQIYAH,8U,AAW
33,Afrinat International Airlines,\N,\N,Q9,AFU
34,Afric'air Express,\N,AFREX,\N,AAX
35,Allegiant Air,\N,ALLEGIANT,G4,AAY
36,Angus Aviation,\N,ANGUS,\N,AAZ
37,Artem-Avia,\N,ARTEM-AVIA,\N,ABA
38,African Business and Transportations,\N,AFRICAN BUSINESS-,\N,ABB
39,Aban Air,\N,ABAN,K5,ABE
40,Aerial Oy,\N,SKYWINGS,\N,ABF
41,Abakan-Avia,\N,ABAKAN-AVIA,\N,ABG
42,ABSA - Aerolinhas Brasileiras,\N,ABSA Cargo,M3,TUS
43,Abaet,\N,Abaet,\N,ABJ
44,Alberta Citylink,\N,ALBERTA CITYLINK,\N,ABK
45,APSA Colombia,\N,AEROEXPRESO,\N,ABO
